2026-07-08 09:39:49,018 | INFO | lmsguard.requests | GET /platform/notifications -> 200 12.98ms
2026-07-08 09:39:49,083 | INFO | watchfiles.main | 5 changes detected
2026-07-08 09:39:49,443 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:39:49,847 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:39:50,202 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:39:50,606 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:39:51,023 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:39:51,436 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:39:51,848 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:39:52,258 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:39:52,672 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:39:53,075 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:39:53,435 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:39:53,840 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:39:54,257 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:39:54,661 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:39:55,063 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:39:55,470 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:39:55,877 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:39:56,243 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:39:56,647 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:39:57,058 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:39:57,475 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:39:57,886 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:39:58,290 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:39:58,654 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:39:59,064 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:39:59,481 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:39:59,894 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:00,304 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:00,713 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:01,125 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:01,528 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:01,944 | INFO | watchfiles.main | 1 change detected
2026-07-08 09:40:02,359 | INFO | watchfiles.main | 1 change detected
